"site","plot_no","reading","light","canopy_openness","P_ID"
"Manamboli_Upper",7,2,340,2,"Manamboli_Upper_7"
"Manamboli_Upper",7,3,450,6,"Manamboli_Upper_7"
"Manamboli_Upper",7,4,830,3,"Manamboli_Upper_7"
"Manamboli_Upper",8,1,1470,5,"Manamboli_Upper_8"
"Manamboli_Upper",8,2,1180,8,"Manamboli_Upper_8"
"Manamboli_Upper",8,3,870,4,"Manamboli_Upper_8"
"Manamboli_Upper",8,4,1100,4,"Manamboli_Upper_8"
"Manamboli_Upper",9,1,350,2,"Manamboli_Upper_9"
"Manamboli_Upper",9,2,670,6,"Manamboli_Upper_9"
"Manamboli_Upper",9,3,270,5,"Manamboli_Upper_9"
"Manamboli_Upper",9,4,440,2,"Manamboli_Upper_9"
"Manamboli_Upper",10,1,1180,7,"Manamboli_Upper_10"
"Manamboli_Upper",10,2,890,2,"Manamboli_Upper_10"
"Manamboli_Upper",10,3,930,4,"Manamboli_Upper_10"
"Manamboli_Upper",10,4,1160,4,"Manamboli_Upper_10"
"Manamboli_Upper",11,1,580,4,"Manamboli_Upper_11"
"Manamboli_Upper",11,2,480,3,"Manamboli_Upper_11"
"Manamboli_Upper",11,3,890,5,"Manamboli_Upper_11"
"Manamboli_Upper",11,4,404,5,"Manamboli_Upper_11"
"Manamboli_Upper",12,1,1340,4,"Manamboli_Upper_12"
"Manamboli_Upper",12,2,1250,3,"Manamboli_Upper_12"
"Manamboli_Upper",12,3,1850,5,"Manamboli_Upper_12"
"Manamboli_Upper",12,4,684,2,"Manamboli_Upper_12"
"Manamboli_Upper",13,1,454,3,"Manamboli_Upper_13"
"Manamboli_Upper",13,2,1973,9,"Manamboli_Upper_13"
"Manamboli_Upper",13,3,1510,5,"Manamboli_Upper_13"
"Manamboli_Upper",13,4,936,3,"Manamboli_Upper_13"
"Manamboli_Upper",14,1,"NA","NA","Manamboli_Upper_14"
"Manamboli_Upper",14,2,527,5,"Manamboli_Upper_14"
"Manamboli_Upper",14,3,1691,6,"Manamboli_Upper_14"
"Manamboli_Upper",14,4,620,4,"Manamboli_Upper_14"
"Manamboli_Upper",15,1,1175,6,"Manamboli_Upper_15"
"Manamboli_Upper",15,2,1414,5,"Manamboli_Upper_15"
"Manamboli_Upper",15,3,1720,5,"Manamboli_Upper_15"
"Manamboli_Upper",15,4,623,4,"Manamboli_Upper_15"
"Manamboli_Upper",16,1,878,2,"Manamboli_Upper_16"
"Manamboli_Upper",16,2,380,5,"Manamboli_Upper_16"
"Manamboli_Upper",16,3,3910,5,"Manamboli_Upper_16"
"Manamboli_Upper",16,4,1833,4,"Manamboli_Upper_16"
"Manamboli_Upper",17,1,405,4,"Manamboli_Upper_17"
"Manamboli_Upper",17,2,648,4,"Manamboli_Upper_17"
"Manamboli_Upper",17,3,894,5,"Manamboli_Upper_17"
"Manamboli_Upper",17,4,780,3,"Manamboli_Upper_17"
"Manamboli_Upper",18,1,1084,0,"Manamboli_Upper_18"
"Manamboli_Upper",18,2,2070,6,"Manamboli_Upper_18"
"Manamboli_Upper",18,3,1455,7,"Manamboli_Upper_18"
"Manamboli_Upper",18,4,1397,7,"Manamboli_Upper_18"
"Manamboli_Upper",19,1,1225,4,"Manamboli_Upper_19"
"Manamboli_Upper",19,2,1356,7,"Manamboli_Upper_19"
"Manamboli_Upper",19,3,3190,6,"Manamboli_Upper_19"
"Manamboli_Upper",19,4,712,4,"Manamboli_Upper_19"
"Manamboli_Upper",20,1,816,4,"Manamboli_Upper_20"
"Manamboli_Upper",20,2,3940,3,"Manamboli_Upper_20"
"Manamboli_Upper",20,3,954,5,"Manamboli_Upper_20"
"Manamboli_Upper",20,4,1411,4,"Manamboli_Upper_20"
"Manamboli_Upper",21,1,1150,4,"Manamboli_Upper_21"
"Manamboli_Upper",21,2,1134,4,"Manamboli_Upper_21"
