WeirdSiteID,PlotID,Plant.year,Site_ID,Site_type,treespecies,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,gbh8,gbh9,gbh10,gbh11,height,Notes
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,13.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,12.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04R,Restored,Litsea floribunda,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
IPTOP,R04,2004,IPTO_04R,Restored,Persea macarantha,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R04,2004,IPTO_04R,Restored,Actinodaphne malabaricum,47.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
IPTOP,R04,2004,IPTO_04R,Restored,Syzygium hemisphericum,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04R,Restored,Litsea floribunda,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
IPTOP,R04,2004,IPTO_04R,Restored,Olea dioica,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04R,Restored,Clerodendrum infortunatum,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
