observation_id,latitude,longitude,date_,time,place,type_of_observation,notes,photo,gps_altitude,gps_horizontal_accuracy,verbatimIdentification,scientificName,vernacularName,recordedBy,georeferenceRemarks,occurrenceID
664c50e3-87ba-4dc9-8690-15579cfcba8b,10.33026211,76.95995172,2016-05-12,23:04:00,Valparai--Cooperative Colony,Sighting,NA,NA,1132,133,Porcupine,Hystrix indica,Indian crested porcupine,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 10 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:664c50e3-87ba-4dc9-8690-15579cfcba8b:sp1
f7258322-01f0-499a-a5fb-6f08e7016932,10.34716166,76.97272296,2016-05-14,06:06:00,Pkt board,Sighting,NA,NA,1142,10,Gaur,Bos gaurus,Gaur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 9.71 | GPS course =348,urn:ncf:arp:f7258322-01f0-499a-a5fb-6f08e7016932:sp1
f7258322-01f0-499a-a5fb-6f08e7016932,10.34716166,76.97272296,2016-05-14,06:06:00,Pkt board,Sighting,NA,NA,1142,10,Black-Naped Hare,Lepus nigricollis,Black-naped hare,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 9.71 | GPS course =348,urn:ncf:arp:f7258322-01f0-499a-a5fb-6f08e7016932:sp2
f7258322-01f0-499a-a5fb-6f08e7016932,10.34716166,76.97272296,2016-05-14,06:06:00,Pkt board,Sighting,NA,NA,1142,10,Nilgiri Langur,Semnopithecus johnii,Nilgiri langur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 9.71 | GPS course =348,urn:ncf:arp:f7258322-01f0-499a-a5fb-6f08e7016932:sp3
f7258322-01f0-499a-a5fb-6f08e7016932,10.34716166,76.97272296,2016-05-14,06:06:00,Pkt board,Sighting,NA,NA,1142,10,Elephant,Elephas maximus,Asian elephant,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 9.71 | GPS course =348,urn:ncf:arp:f7258322-01f0-499a-a5fb-6f08e7016932:sp4
f7258322-01f0-499a-a5fb-6f08e7016932,10.34716166,76.97272296,2016-05-14,06:06:00,Pkt board,Sighting,NA,NA,1142,10,Malabar giant squirrel,Ratufa indica,Indian giant squirrel,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 9.71 | GPS course =348,urn:ncf:arp:f7258322-01f0-499a-a5fb-6f08e7016932:sp5
7018206b-bf88-49ff-adc0-42d5cd03a2cb,10.39041193,76.9856509,2016-05-14,12:01:00,Kavarkal,Sighting,NA,NA,1320,200,Gaur,Bos gaurus,Gaur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 36 | GPS speed = 2.72 | GPS course =75,urn:ncf:arp:7018206b-bf88-49ff-adc0-42d5cd03a2cb:sp1
7018206b-bf88-49ff-adc0-42d5cd03a2cb,10.39041193,76.9856509,2016-05-14,12:01:00,Kavarkal,Sighting,NA,NA,1320,200,Stripe-necked Mongoose,Herpestes vitticollis,Stripe-necked mongoose,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 36 | GPS speed = 2.72 | GPS course =75,urn:ncf:arp:7018206b-bf88-49ff-adc0-42d5cd03a2cb:sp2
2f8bedc1-60e4-4276-804a-f62be5bd087a,10.35900847,76.92919188,2016-05-14,17:22:00,Tata anali,Sighting,NA,NA,984,10,Nilgiri Langur,Semnopithecus johnii,Nilgiri langur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 48 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:2f8bedc1-60e4-4276-804a-f62be5bd087a:sp1
2f8bedc1-60e4-4276-804a-f62be5bd087a,10.35900847,76.92919188,2016-05-14,17:22:00,Tata anali,Sighting,NA,NA,984,10,barking deer,Muntiacus muntjak,Indian muntjac,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 48 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:2f8bedc1-60e4-4276-804a-f62be5bd087a:sp2
