species,fruit_type,fruit_weight ,fruit_L,fruit_W1,fruit_W2,seed_weight,seed_L,seed_W1,seed_W2,aril_weight,pulp_weight
Heynea trijuga,Arillate,1.44,1.4,1.5,1.2,1.28,1.3,1.4,1.1,0.16,N
Heynea trijuga,Arillate,0.91,1.1,1.3,1.1,0.76,1.1,1.2,1,0.15,N
Heynea trijuga,Arillate,1,1.2,1.3,1.2,0.9,1.1,1.3,1,0.1,N
Heynea trijuga,Arillate,0.77,1.2,1.2,1.2,0.65,1.1,1.1,1,0.12,N
Heynea trijuga,Arillate,0.96,1.3,1.2,1.1,0.84,1.3,1.2,1,0.12,N
Heynea trijuga,Arillate,1.21,1.35,1.36,1.18,1.06,1.28,1.3,1.16,0.15,N
Heynea trijuga,Arillate,1.54,1.4,1.52,1.26,1.23,1.3,1.4,1.2,0.31,N
Heynea trijuga,Arillate,1.4,1.3,1.4,1.23,1.18,1.27,1.38,1.22,0.22,N
Heynea trijuga,Arillate,1.54,1.43,1.43,1.26,1.32,1.37,1.38,1.2,0.22,N
Heynea trijuga,Arillate,1.6,1.4,1.48,1.29,1.37,1.37,1.47,1.28,0.23,N
Heynea trijuga,Arillate,1.6,1.44,1.51,1.26,1.34,1.38,1.4,1.22,0.26,N
Heynea trijuga,Arillate,1.47,1.38,1.43,1.25,1.24,1.33,1.37,1.22,0.23,N
Heynea trijuga,Arillate,1.55,1.45,1.42,1.25,1.29,1.39,1.4,1.19,0.26,N
Heynea trijuga,Arillate,1.53,1.38,1.45,1.25,1.32,1.34,1.43,1.22,0.21,N
Heynea trijuga,Arillate,1.25,1.25,1.35,1.17,1.02,1.16,1.3,1.12,0.23,N
Heynea trijuga,Arillate,0.98,1.15,1.27,1.11,0.76,1.09,1.18,1.06,0.22,N
Heynea trijuga,Arillate,1.29,1.27,1.39,1.2,1.02,1.23,1.35,1.14,0.27,N
Heynea trijuga,Arillate,1.08,1.25,1.28,1.12,0.85,1.11,1.2,1.06,0.23,N
Heynea trijuga,Arillate,1.48,1.23,1.44,1.26,1.18,1.23,1.4,1.18,0.3,N
Heynea trijuga,Arillate,1.07,1.14,1.34,1.09,0.82,1.08,1.27,1.04,0.25,N
Heynea trijuga,Arillate,1.37,1.19,1.44,1.22,1.12,1.19,1.39,1.15,0.25,N
Heynea trijuga,Arillate,1.31,1.21,1.42,1.18,1.04,1.21,1.36,1.06,0.27,N
Heynea trijuga,Arillate,1.62,1.29,1.51,1.28,1.32,1.21,1.46,1.17,0.3,N
Heynea trijuga,Arillate,1.45,1.25,1.44,1.25,1.2,1.18,1.41,1.15,0.25,N
Heynea trijuga,Arillate,2.09,1.4,1.66,1.47,1.75,1.38,1.62,1.3,0.34,N
Heynea trijuga,Arillate,1.62,1.23,1.52,1.32,1.34,1.2,1.47,1.2,0.28,N
Heynea trijuga,Arillate,1.43,1.34,1.46,1.24,1.19,1.27,1.41,1.13,0.24,N
Heynea trijuga,Arillate,2.06,1.58,1.61,1.39,1.77,1.47,1.56,1.3,0.29,N
Heynea trijuga,Arillate,1.31,1.23,1.43,1.22,1.11,1.23,1.37,1.13,0.2,N
Heynea trijuga,Arillate,1.37,1.26,1.44,1.18,1.17,1.11,1.4,1.12,0.2,N
Heynea trijuga,Arillate,1.34,1.22,1.46,1.25,1.16,1.22,1.43,1.22,0.18,N
Heynea trijuga,Arillate,1.39,1.27,1.41,1.19,1.2,1.23,1.39,1.16,0.19,N
Heynea trijuga,Arillate,1.48,1.34,1.46,1.2,1.3,1.29,1.43,1.18,0.18,N
Heynea trijuga,Arillate,1.63,1.41,1.53,1.2,1.42,1.36,1.5,1.17,0.21,N
Heynea trijuga,Arillate,1.42,1.22,1.44,1.21,1.16,1.22,1.4,1.2,0.26,N
Heynea trijuga,Arillate,1.5,1.22,1.51,1.25,1.29,1.22,1.51,1.18,0.21,N
Heynea trijuga,Arillate,1.12,1.14,1.32,1.06,0.86,1.02,1.32,0.9,0.26,N
Heynea trijuga,Arillate,1.45,1.2,1.48,1.22,1.18,1.17,1.45,1.14,0.27,N
Heynea trijuga,Arillate,2,1.36,1.65,1.36,1.75,1.34,1.63,1.33,0.25,N
Heynea trijuga,Arillate,1.14,1.08,1.38,1.15,0.95,1.08,1.37,1.03,0.19,N
Heynea trijuga,Arillate,2.03,1.34,1.68,1.41,1.7,1.34,1.64,1.27,0.33,N
Heynea trijuga,Arillate,1.43,1.2,1.53,1.15,1.19,1.16,1.49,1.13,0.24,N
Heynea trijuga,Arillate,1.23,1.2,1.34,1.16,1.03,1.08,1.33,1.09,0.2,N
Heynea trijuga,Arillate,1.03,1.12,1.3,1.1,0.89,1.12,1.26,1.1,0.14,N
Heynea trijuga,Arillate,1.19,1.2,1.35,1.22,1.03,1.18,1.33,1.12,0.16,N
Heynea trijuga,Arillate,0.95,1.08,1.26,1.09,0.81,1.05,1.23,1.04,0.14,N
Heynea trijuga,Arillate,0.97,1.08,1.3,1.08,0.82,1.04,1.24,1.04,0.15,N
Heynea trijuga,Arillate,0.89,1.08,1.2,1.06,0.76,1.06,1.18,0.9,0.13,N
Heynea trijuga,Arillate,0.85,1.02,1.21,1.05,0.7,0.9,1.18,0.9,0.15,N
Heynea trijuga,Arillate,1.22,1.14,1.35,1.21,1.04,1.14,1.3,1.16,0.18,N
Heynea trijuga,Arillate,1.24,1.19,1.36,1.23,1.1,1.17,1.36,1.19,0.14,N
Heynea trijuga,Arillate,1.09,1.23,1.3,1.07,0.94,1.21,1.27,1.04,0.15,N
Heynea trijuga,Arillate,0.96,1.08,1.27,1.08,0.81,1.08,1.21,1.05,0.15,N
Heynea trijuga,Arillate,0.85,1.24,1.2,1,0.7,1.18,1.11,0.97,0.15,N
Heynea trijuga,Arillate,1.19,1.31,1.38,1.17,0.93,1.2,1.2,1,0.26,N
Heynea trijuga,Arillate,0.95,1.23,1.29,1.08,0.84,1.1,1.2,1,0.11,N
Heynea trijuga,Arillate,1.07,1.2,1.28,1,0.9,1.2,1.2,1,0.17,N
Heynea trijuga,Arillate,1.03,1.23,1.29,1,0.88,1.2,1.1,1,0.15,N
Heynea trijuga,Arillate,0.83,1.2,1.2,9.7,0.67,1.1,1,0.9,0.16,N
Heynea trijuga,Arillate,0.77,1.1,1,0.96,0.65,1.1,1,0.9,0.12,N
Heynea trijuga,Arillate,1.05,1.3,1.2,1,0.88,1.2,1.2,1,0.17,N
Heynea trijuga,Arillate,0.66,1.1,1,0.9,0.57,1.1,1,0.8,0.09,N
Heynea trijuga,Arillate,0.71,1.1,1,0.8,0.56,1.1,1,0.8,0.15,N
Heynea trijuga,Arillate,1.29,1.3,1.4,1.2,1.08,1.2,1.4,1.2,0.21,N
Heynea trijuga,Arillate,0.96,1.2,1.2,1.1,0.76,1.1,1.2,1,0.2,N
Heynea trijuga,Arillate,0.97,1.1,1.3,1.1,0.8,1.1,1.2,1.1,0.17,N
Heynea trijuga,Arillate,1.46,1.4,1.5,1.3,1.2,1.2,1.4,1.2,0.26,N
Heynea trijuga,Arillate,1.35,1.2,1.5,1.2,1.13,1.2,1.3,1.2,0.22,N
Heynea trijuga,Arillate,0.97,1.1,1.3,1.1,0.82,1.1,1.2,1.1,0.15,N
Heynea trijuga,Arillate,1.05,1.2,1.3,1.1,0.85,1.1,1.3,1.1,0.2,N
Heynea trijuga,Arillate,1.29,1.2,1.4,1.2,1.07,1.1,1.4,1.2,0.22,N
Heynea trijuga,Arillate,1.4,1.3,1.4,1.2,1.16,1.2,1.4,1.2,0.24,N
Heynea trijuga,Arillate,1.49,1.3,1.5,1.3,1.28,1.2,1.4,1.3,0.21,N
Heynea trijuga,Arillate,0.87,1.2,1.3,1.4,0.74,1.2,1.2,1,0.13,N
Heynea trijuga,Arillate,0.98,1.2,1.3,1,0.83,1.2,1.2,1,0.15,N
Heynea trijuga,Arillate,0.81,1.2,1.2,1,0.68,1.2,1,0.9,0.13,N
Heynea trijuga,Arillate,0.89,1.2,1.2,1,0.78,1.2,1.2,1,0.11,N
Heynea trijuga,Arillate,0.96,1.3,1.2,1,0.81,1.2,1.2,1,0.15,N
Heynea trijuga,Arillate,0.84,1.2,1.2,1,0.73,1.2,1.1,1,0.11,N
Heynea trijuga,Arillate,0.89,1.2,1.2,1,0.79,1.2,1.2,0.9,0.1,N
Heynea trijuga,Arillate,1.12,1.4,1.3,1.1,0.92,1.3,1.3,1,0.2,N
Heynea trijuga,Arillate,0.8,1.2,1.2,1,0.68,1.1,1.1,0.9,0.12,N
Heynea trijuga,Arillate,0.94,1.3,1.3,1.2,0.83,1.3,1.2,1,0.11,N
Heynea trijuga,Arillate,0.94,1.3,1.17,1.07,0.77,1.24,1.15,1,0.17,N
Heynea trijuga,Arillate,1.21,1.3,1.33,1.15,1.04,1.3,1.3,1.1,0.17,N
Heynea trijuga,Arillate,1.05,1.29,1.26,1.13,0.9,1.29,1.23,1,0.15,N
Heynea trijuga,Arillate,1.32,1.44,1.35,1.17,1.12,1.4,1.29,1.15,0.2,N
Heynea trijuga,Arillate,1.34,1.42,1.38,1.16,1.13,1.38,1.31,1.14,0.21,N
Heynea trijuga,Arillate,1.28,1.32,1.37,1.18,1.09,1.32,1.34,1.11,0.19,N
Heynea trijuga,Arillate,0.99,1.27,1.24,1.1,0.84,1.24,1.21,1.05,0.15,N
Heynea trijuga,Arillate,0.73,1.18,1.05,0.97,0.61,1.18,1.02,0.94,0.12,N
Heynea trijuga,Arillate,0.95,1.29,1.18,1.08,0.8,1.29,1.16,1.01,0.15,N
Heynea trijuga,Arillate,1.05,1.4,1.2,1.09,0.9,1.38,1.16,1.06,0.15,N
Heynea trijuga,Arillate,1.16,1.21,1.35,1.11,0.97,1.16,1.3,1.09,0.19,N
Heynea trijuga,Arillate,1.19,1.25,1.36,1.19,1.03,1.25,1.32,1.08,0.16,N
Heynea trijuga,Arillate,1.29,1.31,1.37,1.15,1.13,1.31,1.33,1.15,0.16,N
Heynea trijuga,Arillate,1.07,1.21,1.3,1.09,0.92,1.21,1.29,1.03,0.15,N
Heynea trijuga,Arillate,1.12,1.11,1.37,1.19,0.99,1.11,1.35,1.09,0.13,N
Heynea trijuga,Arillate,0.84,1.11,1.2,0.98,0.7,1.09,1.16,0.94,0.14,N
Heynea trijuga,Arillate,0.86,1.16,1.19,0.98,0.74,1.16,1.18,0.96,0.12,N
Heynea trijuga,Arillate,0.92,1.13,1.2,1.01,0.79,1.13,1.16,1,0.13,N
Heynea trijuga,Arillate,1.01,1.17,1.25,1.07,0.88,1.17,1.24,1.04,0.13,N
Heynea trijuga,Arillate,0.77,1.12,1.15,0.97,0.67,1.08,1.11,0.95,0.1,N
Heynea trijuga,Arillate,1.71,1.32,1.52,1.26,1.38,1.28,1.49,1.19,0.33,N
Heynea trijuga,Arillate,1.46,1.26,1.41,1.22,1.24,1.22,1.39,1.14,0.22,N
Heynea trijuga,Arillate,1.64,1.26,1.58,1.28,1.42,1.22,1.52,1.19,0.22,N
Heynea trijuga,Arillate,1.51,1.3,1.49,1.26,1.32,1.22,1.46,1.24,0.19,N
Heynea trijuga,Arillate,1.25,1.15,1.4,1.18,1.09,1.13,1.37,1.15,0.16,N
Heynea trijuga,Arillate,1.63,1.31,1.52,1.25,1.39,1.25,1.49,1.25,0.24,N
Heynea trijuga,Arillate,1.4,1.25,1.51,1.14,1.19,1.05,1.47,1.14,0.21,N
Heynea trijuga,Arillate,1.03,1.04,1.38,1.12,0.92,1.04,1.35,1.07,0.11,N
Heynea trijuga,Arillate,1.19,1.1,1.42,1.09,1.05,1.05,1.39,1.09,0.14,N
Heynea trijuga,Arillate,1.22,1.09,1.42,1.17,1.05,1.07,1.41,1.13,0.17,N
Myristica dactyloides,Arillate,14.41,4.19,2.26,2.13,11.51,3.93,2.18,1.98,2.9,N
Myristica dactyloides,Arillate,15.98,4.37,2.28,2.2,12.27,3.92,2.26,2.04,3.71,N
Myristica dactyloides,Arillate,12.95,3.6,2.44,2.48,11.5,3.31,2.4,2.38,1.45,N
Myristica dactyloides,Arillate,17.28,3.98,2.54,2.45,13.29,3.44,2.42,2.3,3.99,N
Myristica dactyloides,Arillate,16.39,4.08,2.61,2.4,12.92,3.43,2.4,2.25,3.47,N
Myristica dactyloides,Arillate,10.54,3.46,2.25,2.17,9.07,3.06,2.22,2.14,1.47,N
Myristica dactyloides,Arillate,11.42,3.72,2.26,2.35,9.99,3.2,2.2,2.16,1.43,N
Myristica dactyloides,Arillate,15.14,3.97,2.52,2.44,12.52,3.53,2.47,2.22,2.62,N
Myristica dactyloides,Arillate,13.78,3.93,2.36,2.31,11.48,3.68,2.27,2.23,2.3,N
Myristica dactyloides,Arillate,18.61,4.03,2.78,2.52,15.67,3.73,2.72,2.43,2.94,N
Myristica dactyloides,Arillate,12.88,3.57,2.45,2.33,10.45,3.41,2.37,2.15,2.43,N
Myristica dactyloides,Arillate,15.16,4,2.52,2.34,11.91,3.66,2.37,2.16,3.25,N
Myristica dactyloides,Arillate,13.73,3.87,2.52,2.31,11.3,3.6,2.45,2.21,2.43,N
Myristica dactyloides,Arillate,14.96,4.09,2.44,2.37,11.67,3.67,2.33,2.1,3.29,N
Myristica dactyloides,Arillate,15.32,3.86,2.51,2.55,12.35,3.55,2.35,2.36,2.97,N
Myristica dactyloides,Arillate,16.13,4.03,2.62,2.42,13.55,3.71,2.57,2.3,2.58,N
Myristica dactyloides,Arillate,12.58,3.69,2.35,2.28,9.74,3.27,2.32,2.11,2.84,N
Myristica dactyloides,Arillate,14.43,3.96,2.56,2.41,11.57,3.62,2.4,2.19,2.86,N
Myristica dactyloides,Arillate,14.3,4.27,2.38,2.3,11.48,3.76,2.32,2.3,2.82,N
Myristica dactyloides,Arillate,16.43,4.22,2.54,2.41,13.26,3.87,2.46,2.23,3.17,N
Myristica dactyloides,Arillate,21.45,4.24,2.87,2.77,17.77,3.96,2.77,2.63,3.68,N
Myristica dactyloides,Arillate,19.62,4.37,2.74,2.77,16.06,4,2.67,2.49,3.56,N
Myristica dactyloides,Arillate,16.82,4.17,2.66,2.5,13.92,3.78,2.59,2.39,2.9,N
Myristica dactyloides,Arillate,19.26,4.45,2.75,2.69,15.63,4.06,2.57,2.38,3.63,N
Myristica dactyloides,Arillate,13.46,3.8,2.46,2.37,11.82,3.64,2.46,2.36,1.64,N
Myristica dactyloides,Arillate,13.91,3.76,2.47,2.29,11.24,3.47,2.41,2.22,2.67,N
Myristica dactyloides,Arillate,18.68,4.43,2.72,2.57,15.35,4.09,2.62,2.3,3.33,N
Myristica dactyloides,Arillate,14.5,3.86,2.49,2.42,11.99,3.55,2.42,2.36,2.51,N
Myristica dactyloides,Arillate,17.51,4.29,2.73,2.53,14.9,3.92,2.65,2.48,2.61,N
Myristica dactyloides,Arillate,16.68,4.12,2.55,2.56,13.45,3.71,2.41,2.39,3.23,N
Myristica dactyloides,Arillate,18.24,4.32,2.54,2.6,14.48,3.88,2.48,2.38,3.76,N
Myristica dactyloides,Arillate,16.14,4.04,2.57,2.41,12.88,3.69,2.46,2.27,3.26,N
Myristica dactyloides,Arillate,16.27,4.09,2.55,2.5,13.12,3.76,2.46,2.29,3.15,N
Myristica dactyloides,Arillate,18.08,4.16,2.58,2.52,14.44,3.79,2.49,2.36,3.64,N
Myristica dactyloides,Arillate,15.87,3.9,2.55,2.31,12.57,3.62,2.48,2.16,3.3,N
Myristica dactyloides,Arillate,14.18,3.77,2.45,2.39,12.1,3.64,2.38,2.19,2.08,N
Myristica dactyloides,Arillate,14.62,3.9,2.54,2.37,11.86,3.63,2.52,2.24,2.76,N
Myristica dactyloides,Arillate,14.23,3.85,2.44,2.27,11.46,3.51,2.38,2.11,2.77,N
Myristica dactyloides,Arillate,11.44,3.73,2.35,2.2,10.01,3.44,2.32,2.2,1.43,N
Myristica dactyloides,Arillate,12.17,3.73,2.28,2.14,9.36,3.47,2.16,2.02,2.81,N
Myristica dactyloides,Arillate,16.19,4.11,2.56,2.44,13.16,3.76,2.5,2.41,3.03,N
Myristica dactyloides,Arillate,16.24,4.04,2.55,2.53,13.15,3.65,2.49,2.36,3.09,N
Myristica dactyloides,Arillate,14.74,3.68,2.48,2.36,11.55,3.53,2.37,2.21,3.19,N
Myristica dactyloides,Arillate,12.75,4.11,2.31,2.25,10.11,3.49,2.22,2.09,2.64,N
Myristica dactyloides,Arillate,18.24,4.21,2.65,2.4,14.77,3.83,2.57,2.3,3.47,N
Myristica dactyloides,Arillate,15.88,3.85,2.6,2.51,12.69,3.54,2.47,2.35,3.19,N
Myristica dactyloides,Arillate,19.55,4.34,2.66,2.53,15.75,3.96,2.6,2.42,3.8,N
Myristica dactyloides,Arillate,11.84,3.37,2.39,2.26,9.35,3.03,2.31,2.15,2.49,N
Myristica dactyloides,Arillate,15.16,3.81,2.51,2.51,12.1,3.44,2.42,2.31,3.06,N
Myristica dactyloides,Arillate,13.77,3.92,2.41,2.22,11.23,3.72,2.28,2.15,2.54,N
Myristica dactyloides,Arillate,17.25,4.24,2.68,2.56,14.54,3.9,2.54,2.34,2.71,N
Myristica dactyloides,Arillate,16.49,4.04,2.62,2.37,13.35,3.73,2.47,2.27,3.14,N
Myristica dactyloides,Arillate,10.95,3.69,2.47,2.33,10.34,3.44,2.44,2.29,0.61,N
Myristica dactyloides,Arillate,8.33,3.42,2.05,1.96,6.97,3.19,1.97,1.89,1.36,N
Myristica dactyloides,Arillate,15.95,3.94,2.61,2.32,13.45,3.74,2.57,2.18,2.5,N
Myristica dactyloides,Arillate,10.8,3.69,2.32,2.07,9.31,3.44,2.27,2,1.49,N
Myristica dactyloides,Arillate,13.27,3.72,2.47,2.33,11.23,3.42,2.4,2.28,2.04,N
Myristica dactyloides,Arillate,7.03,3.38,2.06,2.01,5.29,3.06,2.01,1.86,1.74,N
Myristica dactyloides,Arillate,12.34,3.43,2.41,2.45,10.5,3.16,2.38,2.21,1.84,N
Myristica dactyloides,Arillate,11.23,3.46,2.38,2.22,9.53,3.36,2.35,2.07,1.7,N
Myristica dactyloides,Arillate,16.64,4.22,2.57,2.54,13.56,3.79,2.5,2.31,3.08,N
Myristica dactyloides,Arillate,10.81,3.64,2.34,2.28,9.16,3.36,2.3,2.26,1.65,N
Myristica dactyloides,Arillate,12.51,3.7,2.42,2.26,11.12,3.44,2.38,2.19,1.39,N
Myristica dactyloides,Arillate,12.71,3.68,2.41,2.29,10.74,3.4,2.36,2.16,1.97,N
Myristica dactyloides,Arillate,14.17,3.92,2.38,2.26,11.14,3.47,2.27,2.08,3.03,N
Myristica dactyloides,Arillate,15.8,4.07,2.52,2.46,12.68,3.66,2.42,2.34,3.12,N
Myristica dactyloides,Arillate,16.59,4.15,2.67,2.45,14.19,3.7,2.56,2.41,2.4,N
Myristica dactyloides,Arillate,18.22,4.23,2.64,2.58,13.48,3.74,2.52,2.24,4.74,N
Myristica dactyloides,Arillate,13.78,3.9,2.47,2.24,11.28,3.61,2.34,2.17,2.5,N
Myristica dactyloides,Arillate,19.47,4.13,2.74,2.64,16.1,3.74,2.63,2.56,3.37,N
Myristica dactyloides,Arillate,16.28,3.82,2.6,2.52,13.47,3.48,2.51,2.31,2.81,N
Myristica dactyloides,Arillate,8.44,3.41,2.08,2.01,5.21,3.07,1.87,1.74,3.23,N
Myristica dactyloides,Arillate,14.55,3.9,2.49,2.36,11.28,3.47,2.41,2.22,3.27,N
Myristica dactyloides,Arillate,16.37,4.15,2.51,2.44,12.91,3.62,2.44,2.3,3.46,N
Myristica dactyloides,Arillate,14.56,4,2.47,2.42,11.48,3.46,2.38,2.22,3.08,N
Myristica dactyloides,Arillate,16.71,4.11,2.52,2.41,13.49,3.69,2.45,2.22,3.22,N
Myristica dactyloides,Arillate,9.56,3.9,2.16,2.07,6.1,3.28,2.03,1.95,3.46,N
Myristica dactyloides,Arillate,15.11,3.96,2.47,2.38,12.27,3.64,2.4,2.17,2.84,N
Myristica dactyloides,Arillate,15.35,4.03,2.47,2.35,11.22,3.59,2.35,2.13,4.13,N
Myristica dactyloides,Arillate,20.65,4.37,2.73,2.57,16.15,3.92,2.62,2.46,4.5,N
Myristica dactyloides,Arillate,16.84,4.08,2.46,2.39,12.28,3.67,2.38,2.22,4.56,N
Myristica dactyloides,Arillate,14.37,3.85,2.44,2.23,11.02,3.56,2.35,2.12,3.35,N
Myristica dactyloides,Arillate,13.48,3.67,2.41,2.31,10.96,3.44,2.31,2.19,2.52,N
Myristica dactyloides,Arillate,18.3,4.22,2.64,2.48,15.16,3.89,2.53,2.41,3.14,N
Myristica dactyloides,Arillate,16.78,4.12,2.49,2.4,12.86,3.68,2.4,2.15,3.92,N
Myristica dactyloides,Arillate,14.88,3.84,2.51,2.33,11.83,3.72,2.41,2.07,3.05,N
Myristica dactyloides,Arillate,13.7,3.84,2.38,2.12,11.07,3.63,2.33,2.11,2.63,N
Myristica dactyloides,Arillate,12.94,3.76,2.3,2.23,10.96,3.44,2.25,2.14,1.98,N
Myristica dactyloides,Arillate,16.33,4.04,2.55,2.43,12.92,3.66,2.5,2.29,3.41,N
Myristica dactyloides,Arillate,17.74,4.18,2.58,2.59,12.83,3.58,2.4,2.28,4.91,N
Myristica dactyloides,Arillate,15.66,4.17,2.44,2.34,12.18,3.68,2.31,2.18,3.48,N
Myristica dactyloides,Arillate,14.4,3.81,2.45,2.27,10.71,3.51,2.29,2.07,3.69,N
Myristica dactyloides,Arillate,15.73,3.78,2.48,2.4,12.32,3.56,2.31,2.18,3.41,N
Myristica dactyloides,Arillate,11.82,3.44,2.3,2.24,9.16,3.11,2.21,2.11,2.66,N
Myristica dactyloides,Arillate,12.62,3.72,2.33,2.32,10.44,3.29,2.25,2.21,2.18,N
Myristica dactyloides,Arillate,14.65,3.69,2.55,2.37,11.73,3.37,2.43,2.28,2.92,N
Myristica dactyloides,Arillate,11.31,3.5,2.37,2.23,9.6,3.17,2.35,2.21,1.71,N
Myristica dactyloides,Arillate,8.47,3.03,2.17,2.08,7.16,2.89,2.11,2,1.31,N
