Date,Site_ID,Treatment,Species_name,Abun,Accept_name_WFO,Habit,Distribution,IUCN_status,wden_sps,Wden_final,seed_size,disperser,habt_new,ad_ht
2018-02-20T00:00:00Z,INME_03U,Fragment,Maesopsis eminii,3,Maesopsis eminii,Tree,Introduced,LC,0.34,0.34,L,Mammal_bird,Int,30
2018-02-20T00:00:00Z,INME_03U,Fragment,Syzygium cumini,1,Syzygium cumini,Tree,Native,LC,0.645435271,0.645435271,S,Mammal_bird,Secondary,20
2018-02-20T00:00:00Z,INME_03U,Fragment,Litsea oleoides,1,Litsea oleoides,Tree,Endemic,NA,NA,0.42,M,Bird,Mature,12
2018-02-20T00:00:00Z,INME_03U,Fragment,Actinodaphne malabarica,1,Actinodaphne wightiana,Tree,Endemic,LC,0.619460212,0.619460212,S,Bird,Secondary,12
2018-03-09T00:00:00Z,INOA_03U,Fragment,Clerodendrum viscosum,9,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-09T00:00:00Z,INOA_03U,Fragment,Lantana camara,2,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-09T00:00:00Z,INOA_03U,Fragment,Eucalyptus sp.,2,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45
2018-03-09T00:00:00Z,INBS_04U,Fragment,Clerodendrum viscosum,10,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-09T00:00:00Z,INBS_04U,Fragment,Eucalyptus sp.,3,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45
2018-03-09T00:00:00Z,INBS_04U,Fragment,Lantana camara,3,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-03-09T00:00:00Z,INBS_04U,Fragment,Actinodaphne malabarica,2,Actinodaphne wightiana,Tree,Endemic,LC,0.619460212,0.619460212,S,Bird,Secondary,12
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Clerodendrum viscosum,12,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Cinnamomum malabatrum,1,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Rauwolfia densiflora,4,Rauvolfia verticillata,Shrub,Native,NA,NA,0.53,S,Bird,Secondary,4
2018-03-08T00:00:00Z,SEL1_07U,Fragment,Lantana camara,1,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
