DateTime,Treatment,Site_ID,Species_name,Height,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Remarks,Accept_name_WFO,Habit,Distribution,IUCN_status,wden_sps,Wden_final,seed_size,disperser,habt_new,ad_ht,DBH,Basal,Carbon
2016-10-05T00:00:00Z,Fragment,IPTO_05U,Macaranga peltata,5,30,0,0,0,0,0,0,0,0,0,0,0,NONE,Macaranga peltata,Tree,Endemic,NA,0.466512198,0.466512198,S,Bird,Secondary,12,9.54929658551372,0.00716197243913529,0.00591591704905955
2016-10-05T00:00:00Z,Fragment,IPTO_05U,Persea macrantha,6,33,0,0,0,0,0,0,0,0,0,0,0,NONE,Machilus glaucescens,Tree,Endemic,NA,0.427,0.427,S,Bird,Secondary,30,10.5042262440651,0.0086659866513537,0.00780888105504304
2016-10-05T00:00:00Z,Fragment,IPTO_05U,Mallotus tetracoccus,8.5,70,0,0,0,0,0,0,0,0,0,0,0,NONE,Mallotus tetracoccus,Tree,Native,NA,0.484597734,0.484597734,S,Bird,Secondary,12,22.2816920328653,0.0389929610575144,0.0538707277056453
2016-10-05T00:00:00Z,Fragment,IPTO_05U,Ficus hispida,5.5,31,27,0,0,0,0,0,0,0,0,0,0,NONE,Ficus hispida,Tree,Native,LC,0.413,0.413,S,Mammal,Secondary,10,13.0855951471666,0.0134485926912652,0.0106624014404628
2016-10-05T00:00:00Z,Fragment,IPTO_05U,Cinnamomum malabatrum,5,37,0,0,0,0,0,0,0,0,0,0,0,NONE,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15,11.7774657888003,0.0108941558546402,0.00906679555974315
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Spathodea campanulata,18,83,56,44,245,0,0,0,0,0,0,0,0,NONE,Spathodea campanulata,Tree,Introduced,LC,0.475,0.475,S,Wind,Int,15,85.4032009100205,0.572846386670659,1.51338486959491
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Vernonia arborea,7,31,0,0,0,0,0,0,0,0,0,0,0,NONE,Strobocalyx arborea,Tree,Native,LC,0.33,0.33,S,Wind,Secondary,15,9.86760647169751,0.00764739501556557,0.00624740541097592
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Eucalyptus sp.,37,262,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,83.3971901801532,0.546251595680003,3.33203765065654
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Actinodaphne malabarica,6.5,34,0,0,0,0,0,0,0,0,0,0,0,NONE,Actinodaphne wightiana,Tree,Endemic,LC,0.619460212,0.619460212,S,Bird,Secondary,12,10.8225361302489,0.00919915571071155,0.0128686132124022
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Eucalyptus sp.,32,190,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,60.4788783749202,0.287274672280871,1.54445160614964
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Eucalyptus sp.,38,275,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,87.5352187005425,0.601804628566229,3.75895481645718
2016-10-10T00:00:00Z,Fragment,SEL1_07U,Eucalyptus sp.,39,195,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,62.0704278058392,0.302593335553466,1.97082251282625
2016-10-12T00:00:00Z,Fragment,HP40_05U,Cinnamomum malabatrum,5,50,0,0,0,0,0,0,0,0,0,0,0,NONE,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15,15.9154943091895,0.0198943678864869,0.0163197501795821
2016-10-12T00:00:00Z,Fragment,HP40_05U,Olea dioica,6,35,0,0,0,0,0,0,0,0,0,0,0,NONE,Olea dioica,Tree,Native,NA,0.697202827,0.697202827,S,Mammal,Secondary,15,11.1408460164327,0.00974824026437859,0.0141348542174538
2016-10-12T00:00:00Z,Fragment,HP40_05U,Macaranga peltata,8,74,0,0,0,0,0,0,0,0,0,0,0,NONE,Macaranga peltata,Tree,Endemic,NA,0.466512198,0.466512198,S,Bird,Secondary,12,23.5549315776005,0.0435766234185609,0.0545309177164851
2016-10-12T00:00:00Z,Fragment,HP40_05U,Mallotus tetracoccus,10,130,0,0,0,0,0,0,0,0,0,0,0,NONE,Mallotus tetracoccus,Tree,Native,NA,0.484597734,0.484597734,S,Bird,Secondary,12,41.3802852038928,0.134485926912652,0.211361567108536
2016-10-12T00:00:00Z,Fragment,HP40_05U,Acronychia pedunculata,6,66,39,0,0,0,0,0,0,0,0,0,0,NONE,Acronychia pedunculata,Tree,Native,LC,0.4795,0.4795,S,Mammal_bird,Secondary,10,24.4021432719755,0.0467676800275534,0.0453208065330621
2016-10-12T00:00:00Z,Fragment,HP40_05U,Mallotus tetracoccus,7.5,31,0,0,0,0,0,0,0,0,0,0,0,NONE,Mallotus tetracoccus,Tree,Native,NA,0.484597734,0.484597734,S,Bird,Secondary,12,9.86760647169751,0.00764739501556557,0.00972313724574456
2016-10-12T00:00:00Z,Fragment,HP40_05U,Ficus microcarpa,7,38,20,0,0,0,0,0,0,0,0,0,0,NONE,Ficus microcarpa,Tree,Native,LC,0.610367064,0.610367064,S,Mammal_bird,Secondary,18,13.6688061891473,0.0146740857530728,0.0215085739451424
2016-10-12T00:00:00Z,Fragment,HP40_08U,Villebrunea integrifolia,8,95,32,38,41,16,0,0,0,0,0,0,0,NONE,Oreocnide integrifolia,Tree,Native,NA,NA,0.55,S,Bird,Secondary,8,36.8882568891049,0.106872544286208,0.153705133078399
2016-10-12T00:00:00Z,Fragment,HP40_08U,Clerodendrum infortunatum,7,39,0,0,0,0,0,0,0,0,0,0,0,NONE,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4,12.4140855611678,0.0121037334221386,0.0142195598282557
2016-10-12T00:00:00Z,Fragment,HP40_08U,Persea macrantha,14,134,0,0,0,0,0,0,0,0,0,0,0,NONE,Machilus glaucescens,Tree,Endemic,NA,0.427,0.427,S,Bird,Secondary,30,42.653524748628,0.142889307907904,0.275234902522982
2016-10-12T00:00:00Z,Fragment,HP40_08U,Clerodendrum infortunatum,8.5,82,0,0,0,0,0,0,0,0,0,0,0,NONE,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4,26.1014106670708,0.0535078918674952,0.073314497835296
2016-10-12T00:00:00Z,Fragment,HP40_08U,Clerodendrum infortunatum,8,80,0,0,0,0,0,0,0,0,0,0,0,NONE,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4,25.4647908947033,0.0509295817894065,0.0658506149190073
2016-10-12T00:00:00Z,Fragment,HP40_08U,Dimocarpus longan,10,70,0,0,0,0,0,0,0,0,0,0,0,NONE,Dimocarpus longan,Tree,Native,DD,0.748685273,0.748685273,S,Mammal,Mature,25,22.2816920328653,0.0389929610575144,0.0965214532725454
2016-10-12T00:00:00Z,Fragment,HP40_08U,Ficus hispida,8,50,0,0,0,0,0,0,0,0,0,0,0,NONE,Ficus hispida,Tree,Native,LC,0.413,0.413,S,Mammal,Secondary,10,15.9154943091895,0.0198943678864869,0.0225241752044888
2016-10-12T00:00:00Z,Fragment,HP40_08U,Clerodendrum infortunatum,8,49,0,0,0,0,0,0,0,0,0,0,0,NONE,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4,15.5971844230057,0.019106550918182,0.0252924516472129
2016-10-12T00:00:00Z,Fragment,HP40_08U,Acronychia pedunculata,5.5,51,0,0,0,0,0,0,0,0,0,0,0,NONE,Acronychia pedunculata,Tree,Native,LC,0.4795,0.4795,S,Mammal_bird,Secondary,10,16.2338041953733,0.020698100349101,0.0187887126371598
2016-10-13T00:00:00Z,Fragment,SEL2_07U,Eucalyptus sp.,31,149,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,47.4281730413848,0.176669944579158,0.931642958585104
2016-10-13T00:00:00Z,Fragment,SEL2_07U,Eucalyptus sp.,19,55,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,17.5070437401085,0.0240721851426492,0.0825795251366036
2016-10-13T00:00:00Z,Fragment,SEL2_07U,Eucalyptus sp.,28,79,0,0,0,0,0,0,0,0,0,0,0,NONE,Eucalyptus sp.,Tree,Introduced,NA,NA,0.544,S,Wind,Int,45,25.1464810085195,0.049664299991826,0.244464171123291
