S_No.,Site_name,Site_ID,Treatment,Lat_final,Long_final,dist_PA,CanCover
81,Candura,L13,Fragment,10.31308,76.83303,254.167875797032,80
82,Candura,N11,Fragment,10.31128,76.8312,107.66086678758,65
83,Candura,M11,Fragment,10.31128,76.83211,204.636576283342,95
84,Candura,L11,Fragment,10.31127,76.83302,301.868429124934,100
85,Candura,J11,Fragment,10.31126,76.83485,497.141600062697,75
86,Candura,B02,Fragment,10.30308,76.8421,543.363052022858,70
87,Candura,C02,Fragment,10.30309,76.84119,472.543147969207,95
88,Candura,E02,Fragment,10.3031,76.83936,358.724830240608,100
89,Candura,F02,Fragment,10.3031,76.83845,331.836583395017,90
90,Candura,C01,Fragment,10.3021,76.84118,396.047823529765,85
91,Candura,B01,Fragment,10.30218,76.8421,481.994241303218,90
92,Candura,A01,Fragment,10.30217,76.84301,553.04795810372,100
93,Candura,H03,Fragment,10.30402,76.83663,335.06864490863,75
94,Candura,G03,Fragment,10.30401,76.83754,385.341128644253,75
95,Candura,E03,Fragment,10.304,76.83937,452.620928882981,65
96,Candura,D03,Fragment,10.304,76.84028,492.391368606982,25
97,Candura,C03,Fragment,10.30399,76.8412,547.447034110481,50
98,Candura,I03,Fragment,10.30402,76.83572,306.681008456588,100
99,Candura,H04,Fragment,10.30492,76.83664,428.399167260158,90
100,Candura,G04,Fragment,10.30492,76.83755,469.721231475536,90
101,Candura,F04,Fragment,10.30491,76.83846,526.049750911913,55
102,Candura,G07,Fragment,10.30763,76.83756,744.669387204099,100
103,Candura,F05,Fragment,10.30582,76.83847,607.571786758768,60
104,Candura,G05,Fragment,10.30582,76.83755,558.049570192316,90
105,Candura,G06,Fragment,10.30673,76.83756,651.063035430502,50
106,Candura,L06,Fragment,10.30765,76.833,360.393432294476,65
107,Candura,H07,Fragment,10.30763,76.83665,718.713189118681,70
108,Candura,I06,Fragment,10.30674,76.83573,602.499442745131,100
109,Candura,L04,Fragment,10.30494,76.83298,328.856440467545,100
110,Candura,K05,Fragment,10.30584,76.8339,450.336878335126,100
111,Candura,J05,Fragment,10.30584,76.83482,493.051286400672,90
112,Candura,K04,Fragment,10.30494,76.8339,357.958834478972,100
113,Candura,J04,Fragment,10.30493,76.83481,396.88505504693,95
114,Candura,I05,Fragment,10.30583,76.83573,502.973691278326,NA
115,Candura,H08,Fragment,10.30854,76.83666,759.706251592859,100
116,Candura,J08,Fragment,10.30847,76.83483,559.857201479907,NA
117,Candura,M08,Fragment,10.30856,76.83209,259.927158638808,NA
118,Candura,M07,Fragment,10.30766,76.83209,261.269609476863,85
119,Candura,L08,Fragment,10.30856,76.83301,360.692812837862,75
120,Candura,K07,Fragment,10.30765,76.83391,459.673604917518,NA
121,Candura,N08,Fragment,10.30857,76.83118,160.27646448662,NA
122,Candura,A02,Fragment,10.30308,76.84302,621.601832664319,NA
123,Candura,M10,Fragment,10.31037,76.8321,226.881245451144,100
124,Candura,L10,Fragment,10.31037,76.83302,324.922897696857,100
125,Candura,K10,Fragment,10.31036,76.83393,422.155025721754,NA
126,Candura,K09,Fragment,10.30946,76.83392,444.144058606728,80
127,Candura,M09,Fragment,10.30947,76.8321,249.935374755072,75
128,Candura,N09,Fragment,10.30947,76.83119,152.959087868595,100
129,Candura,O08,Fragment,10.30857,76.83027,60.6062012770339,65
130,TATA AG Office,AGO_01U,Fragment,10.34759,76.93575,1343.80543665657,62
131,TATA AG Office,AGO_02U,Fragment,10.34684,76.93464,1384.40923423636,44
132,TATA AG Office,AGO_03U,Fragment,10.3453,76.93373,1350,86
