year,month,rainfall,maxTemp,minTemp,absminTemp,temperature,maxRH,minRH,humidity,maxwind,minwind,windspeed,maxgust,mingust,gustspeed,maxdew,mindew,dewpoint,maxRad,minRad,radiance,daylight
2014,1,0,25.99225,14.68425,13.546,19.370921875,85.35,50.25,68.34440104166667,1.635,0.03125,0.7550520833333333,6.0125,0.66,3.0594791666666667,16.1625,10.7375,13.162369791666666,1981.5125,1.2,524.7611979166667,11.96875
2014,2,0.8,28.570857142857143,15.6205,13.449,21.02275111607143,89.90714285714286,45.403571428571425,68.68709077380953,1.4207142857142858,0.026785714285714284,0.46493303571428574,4.658214285714286,0.25107142857142856,2.0826153273809522,17.52857142857143,11.02142857142857,14.186197916666666,2063.7,1.2,497.5560267857143,12
2014,3,6,30.056709677419356,17.123709677419356,15.151,22.542100134408603,84.13548387096775,39.8,62.252049731182794,1.3974193548387097,0,0.42529905913978494,5.288709677419355,0.1867741935483871,2.0892405913978496,17.532258064516128,9.196774193548388,13.64502688172043,2085.3935483870964,1.2,497.01065188172043,12.241935483870968
2014,4,27.2,30.53483333333333,18.542333333333332,16.749,22.94505416666667,97.93,52.053333333333335,82.71395833333334,1.385,0,0.21054861111111112,4.256333333333333,0,1.2119722222222222,22.07,16.063333333333333,19.42232638888889,1927.2,1.2,395.98038194444445,12.4
2014,5,185.01000000000002,28.306,18.43993548387097,16.058,22.03251814516129,98.63225806451612,66.05806451612904,87.43040994623657,1.5029032258064516,0,0.32697916666666665,4.767741935483871,0.016129032258064516,1.5071807795698924,22.829032258064515,17,19.665893817204303,1792.651612903226,1.2,365.5220766129032,12.620967741935484
2014,6,307.2,25.350066666666667,18.048433333333332,16.392,20.534832291666667,99.74,82,94.48027777777777,1.4006666666666667,0,0.3510243055555555,5.439666666666667,0.15966666666666668,1.91934375,22.67,17.723333333333333,19.577604166666667,1426.2833333333333,1.2,254.39704861111113,12.575
2014,7,717.6,22.795354838709677,17.586935483870967,16.439,19.195610887096773,99.75806451612904,90.1774193548387,97.38430779569893,1.3162378392217102,0,0.1365208440006827,7.293666794674859,0.2048425499231951,1.8823109612348523,9.533490988223246,4.938938197644649,6.468508914703874,1162.651612903226,1.2,180.74469086021506,12.346774193548388
2014,8,802.2,23.848129032258065,17.253645161290322,15.557,19.259166666666665,100,87.26129032258065,97.4168682795699,0.45751645819618175,0,0.06940738778710408,4.020966919025675,0.18155365371955232,1.5366720955855462,15.02428998427328,4.984124222807402,7.614450068994892,1224.667741935484,1.2,201.08659274193548,12.129032258064516
2014,9,380.40000000000003,25.2436,17.343566666666668,16.034,19.83269513888889,99.94666666666667,80.8,95.23774305555555,0.39329393424036285,0,0.06333179799697655,3.6861074263038547,0.15859325396825394,1.3458762400793651,25.72858698979592,12.890805234315948,17.77146457211357,1688.3666666666666,1.2,277.3597222222222,12.083333333333334
2014,10,207.4,26.466612903225805,17.416387096774194,15.939,20.328553763440862,99.99032258064516,77.2516129032258,94.18595430107527,0.34253209348255437,0,0.050178728581486344,3.5985220539828835,0.06220210664911124,1.1471304449199036,17.858334787140663,-5.244633649696437,2.3082422278835373,1850.0709677419354,1.2,306.22688172043013,11.798387096774194
2014,11,20.2,25.273766666666667,16.875799999999998,14.505,19.85437222222222,97.49333333333334,71.41666666666667,87.45729166666666,0.5251578798185942,0,0.08795482272770218,4.449543650793651,0.2612757936507936,1.8625505981906652,14.959754185563115,2.687894268707483,7.4349088113347195,1710.2,1.2,336.59236111111113,11.708333333333334
2014,12,31.400000000000002,25.51322580645161,16.648935483870968,14.05,19.708603158602152,96.22903225806452,67.3741935483871,85.38581989247312,0.733865207373272,0,0.1773732718894009,4.997016129032258,0.5807776497695852,2.353908230126728,14.836521198156682,3.064103686635945,7.645293020353303,1712.3290322580644,1.2,343.5781922043011,11.629032258064516
2015,1,0,26.27051612903226,14.849064516129033,12.292,19.515086693548387,92.51935483870967,57.57419354838709,77.35547715053764,0.9255837173579109,0.0019041218637992831,0.25311389262246115,5.347176779313876,0.5687602406554019,2.5816393315838884,16.98419662523856,2.2539471256342223,9.272837741857904,1888.7,1.2,449.5299731182796,11.879032258064516
2015,2,22,28.149142857142856,15.717285714285714,14.098,20.74576785714286,85.89642857142857,44.385714285714286,66.95331101190476,1.0832454648526078,0.002232142857142857,0.2912402122307256,5.4256292517006806,0.29547973356009066,2.432550931831066,17.78179853638425,3.26398553906411,10.85050476254896,1983.6107142857143,1.2,496.99520089285716,11.982142857142858
2015,3,62.2,28.96783870967742,16.953129032258065,14.984,21.742057795698926,96.95483870967742,52.31612903225806,77.94751344086022,0.8978554970375248,0,0.20110948815009874,4.788586240947992,0.09384874917709017,1.7816711240947993,20.335498207885305,4.164943356374808,12.122771410703619,2083.78064516129,1.2,469.325,12.169354838709678
2015,4,192.6,28.692633333333333,18.044433333333334,16.439,21.83887222222222,99.04,67.49666666666667,89.17927083333333,0.6433991874527589,0,0.07107143841332828,4.000257842025699,5.170068027210686e-4,1.0863376007810532,21.827007804232803,9.122519126984127,14.39725092895723,1982.3666666666666,1.2,347.5758680555556,12.358333333333333
2015,5,158.2,28.450129032258065,18.52209677419355,17.582,22.02711626344086,99.60322580645162,72.58064516129032,91.14045698924731,0.5458883768561188,0,0.08420640254309608,3.944782386072709,0.061776753712237564,1.1701460360129716,16.220792626728112,6.283266359447004,9.563726603302612,1666.8451612903225,1.2,311.73931451612907,12.459677419354838
2015,6,524,26.249033333333333,18.0659,16.892,20.59615763888889,99.88333333333334,79.9,94.71871527777778,0.6478518518518519,0,0.11700957157554379,4.327566137566138,0.20225925925925925,1.67869437095826,12.625037777777779,6.273546084656084,8.303332824074074,1468.5333333333333,1.2,253.01336805555556,12.533333333333333
2015,7,337.2,25.23974193548387,17.354096774193547,15.7,19.992578965053763,99.98709677419355,83.40645161290323,95.45047043010753,0.535028801843318,0,0.0655069457778631,4.670486431131593,0.2692396313364055,1.761837117575525,9.533490988223246,4.938938197644649,6.468508914703874,1259.909677419355,1.2,230.6077620967742,12.491935483870968
2015,8,254.6,26.47083870967742,17.49909677419355,15.509,20.452017809139786,99.89354838709677,77.81612903225806,93.7616935483871,0.45751645819618175,0,0.06940738778710408,4.020966919025675,0.18155365371955232,1.5366720955855462,15.02428998427328,4.984124222807402,7.614450068994892,1454.183870967742,1.2,263.14892473118283,12.290322580645162
2015,9,349.6,27.492366666666666,17.479066666666668,15.963,20.645741319444443,99.86666666666667,74.52666666666667,93.01923611111111,0.39329393424036285,0,0.06333179799697655,3.6861074263038547,0.15859325396825394,1.3458762400793651,25.72858698979592,12.890805234315948,17.77146457211357,1688.3666666666668,1.2,288.9369791666667,12.058333333333334
2015,10,94.60000000000001,27.77541935483871,17.560548387096773,15.652,21.200116599462365,98.69677419354839,69.56774193548387,88.30467069892472,0.34253209348255437,0,0.050178728581486344,3.5985220539828835,0.06220210664911124,1.1471304449199036,17.858334787140663,-5.244633649696437,2.3082422278835373,1877.8129032258064,1.2,382.51636424731186,11.959677419354838
2015,11,162.8,25.6209,17.586766666666666,15.796,20.272612847222224,99.25,76.62333333333333,91.57427083333333,0.5251578798185942,0,0.08795482272770218,4.449543650793651,0.2612757936507936,1.8625505981906652,14.959754185563115,2.687894268707483,7.4349088113347195,1652.7,1.2,303.3015625,11.625
2015,12,72.2,25.468967741935483,17.052,14.745,19.98667573924731,95.98064516129033,71.38387096774194,87.13212365591397,0.733865207373272,0,0.1773732718894009,4.997016129032258,0.5807776497695852,2.353908230126728,14.836521198156682,3.064103686635945,7.645293020353303,1817.167741935484,1.2,362.01905241935486,11.661290322580646
2016,1,0.6000000000000001,27.67322580645161,15.999870967741936,13.257,20.418687836021505,90.41612903225807,54.348387096774196,75.00846774193549,0.9255837173579109,0.0019041218637992831,0.25311389262246115,5.347176779313876,0.5687602406554019,2.5816393315838884,16.98419662523856,2.2539471256342223,9.272837741857904,1893.0548387096774,1.2,466.43269489247314,11.806451612903226
