date,year,month,day,precipitation,maxTemp,minTemp,temperature,maxRH,minRH,humidity,maxwind,minwind,windspeed,maxgust,mingust,gustspeed,maxdew,mindew,dewpoint,maxRad,minRad,radiance,daylight
2014-01-24,2014,1,24,0,26.182,14.673,19.2008125,90.6,59.4,76.13333333333334,1.26,0,0.46458333333333335,5.04,0.25,2.1329166666666666,18.1,12.1,14.78125,1976.2,1.2,534.3510416666667,11.75
2014-01-25,2014,1,25,0,25.768,15.438,19.423458333333333,92.4,54.6,74.6125,1.76,0,0.6397916666666666,6.55,0.25,3.0612500000000002,17.7,12.7,14.610416666666667,1993.7,1.2,517.059375,12
2014-01-26,2014,1,26,0,25.501,14.864,19.321041666666666,84.5,45.4,69.05104166666666,1.76,0,0.9472916666666666,7.3,1.51,4.1180208333333335,14.7,11.9,13.241666666666667,2018.7,1.2,543.153125,12
2014-01-27,2014,1,27,0,24.243,13.546,18.807708333333334,84.4,55.5,70.06041666666667,2.01,0.25,1.0078125,6.55,1.51,3.8351041666666665,15.6,10.8,13.064583333333333,1958.7,1.2,523.1010416666667,12
2014-01-28,2014,1,28,0,26.304,14.553,19.280958333333334,83.7,42.2,60.1625,1.51,0,0.7598958333333333,5.29,0.25,3.0460416666666665,15.5,6,11.16875,1968.7,1.2,523.153125,12
2014-01-29,2014,1,29,0,26.965,14.553,19.4190625,84,49.7,67.034375,1.26,0,0.6361458333333333,4.78,0.25,2.3852083333333334,16.5,11.2,12.9375,1968.7,1.2,517.7364583333333,12
2014-01-30,2014,1,30,0,26.304,15.079,19.50515625,83.7,48.1,66.746875,1.51,0,0.7373958333333334,5.54,0.5,2.673125,15.8,10.9,12.959375,1973.7,1.2,512.0333333333333,12
2014-01-31,2014,1,31,0,26.671,14.768,20.009177083333334,79.5,47.1,62.954166666666666,2.01,0,0.8475,7.05,0.76,3.2241666666666666,15.4,10.3,12.535416666666666,1993.7,1.2,527.5020833333333,12
2014-02-01,2014,2,1,0,25.89,16.01,20.1684375,78.6,56.8,68.453125,1.76,0.25,0.8763541666666667,6.55,1.76,3.4415625,17.4,10.8,14.10625,2008.7,1.2,520.2625,12
2014-02-02,2014,2,2,0,26.867,16.463,20.390927083333334,84.9,54.1,71.421875,1.76,0.5,1.0508333333333333,6.3,2.27,4.079166666666667,17.5,13,14.923958333333333,2011.2,1.2,540.41875,12
2014-02-03,2014,2,3,0,27.407,15.199,20.313125,88.7,40.2,64.24479166666667,1.51,0,0.7619791666666667,4.53,0.5,2.9145833333333333,15.5,10.5,12.775,2026.2,1.2,549.7416666666667,12
2014-02-04,2014,2,4,0,28.742,15.939,21.131625,78,37.4,55.23645833333333,1.51,0,0.4459375,4.78,0,2.1509375,14.9,8.6,11.442708333333334,2028.7,1.2,543.778125,12
2014-02-05,2014,2,5,0,29.065,14.697,20.92129166666667,87.5,32.8,56.58125,1.51,0,0.5067708333333334,4.78,0.5,2.1410416666666667,16.2,6.1,11.183333333333334,2006.2,1.2,545.2104166666667,12
2014-02-06,2014,2,6,0,29.84,14.697,21.2410625,74.2,18.2,38.7,1.76,0,0.6530208333333334,5.54,0.5,2.5603125,11.7,-2.6,5.078125,2053.7,1.2,573.075,12
2014-02-07,2014,2,7,0,29.74,14.361,20.742520833333334,53.3,18.1,33.682291666666664,1.26,0,0.42770833333333336,4.53,0.5,2.1147916666666666,8.2,0.7,3.439583333333333,2096.2,1.2,573.5958333333333,12
2014-02-08,2014,2,8,0,28.617,14.673,20.886958333333332,51.2,21.8,36.858333333333334,2.01,0,0.796875,6.55,0,3.2157291666666667,7.2,2.3,5.0125,2061.2,1.2,574.403125,12
2014-02-09,2014,2,9,0,29.464,14.409,21.2411875,92.8,22.8,41.735416666666666,1.51,0,0.49083333333333334,5.54,0,2.4365625,14.6,2.6,6.608333333333333,2058.7,1.2,569.6114583333333,12
2014-02-10,2014,2,10,0,29.665,13.449,20.70203125,95.4,35.3,67.48645833333333,1.01,0,0.3675,3.78,0,1.6578125,16.8,10.8,13.513541666666667,1993.7,1.2,538.621875,12
2014-02-11,2014,2,11,0,28.221,15.175,20.77471875,95.6,41,67.171875,1.01,0,0.2909375,3.78,0,1.7519791666666666,16.6,10.5,13.789583333333333,2066.2,1.2,471.3041666666667,12
2014-02-12,2014,2,12,0,26.085,14.505,19.305395833333332,95.7,59,82.29791666666667,1.01,0,0.13302083333333334,3.02,0,1.0595833333333333,18.1,13.2,15.973958333333334,1698.7,1.2,303.4135416666667,12
2014-02-13,2014,2,13,0,29.389,15.151,21.102333333333334,98,50.9,80.26458333333333,1.76,0,0.3616666666666667,5.29,0,1.6211458333333333,19.9,14.6,17.140625,2071.2,1.2,491.01770833333336,12
2014-02-14,2014,2,14,0,29.015,15.485,21.53425,97.3,51.4,80.534375,1.76,0,0.4615625,4.28,0,1.808125,19.8,15.1,17.621875,2158.7,1.2,475.2104166666667,12
